COD_VENDEDOR,NOM_GUERRA,BLOQUEADO,COD_SUPERVISOR
1000,CARLA BARBOSA,0,9000
1001,RENATA QUEIROZ,0,9002
1002,GABRIELA PRADO,0,
1003,HEITOR RIBEIRO,0,9002
1004,INES GOMES,0,
1005,FABIO CARDOSO,0,9001
1006,INES ALMEIDA,0,9000
1007,KARINA CARDOSO,0,9000
1008,MARINA GOMES,1,9001
1009,LUCAS RIBEIRO,0,9000
1010,OLIVIA FERREIRA,0,9001
1011,CARLA NOGUEIRA,0,9002
1012,VITOR,0,9002
1013,GABRIELA CARDOSO,1,9000
1014,HEITOR TEIXEIRA,0,9000
1015,HEITOR DUARTE,0,9001
1016,INES RIBEIRO,0,9002
1017,LUCAS PRADO,0,9001
1018,LUCAS GOMES,0,
1019,INES FERREIRA,0,9002
1020,FABIO RIBEIRO,0,9000
1021,OLIVIA CARDOSO,0,9001
1022,SERGIO GOMES,0,9005
1023,KARINA JUNQUEIRA,0,9003
1024,BRUNO GOMES,0,9004
1025,INES QUEIROZ,1,9003
1026,TATIANA DUARTE,0,9003
1027,PAULO,0,9005
1028,OLIVIA PRADO,0,9004
1029,ELISA ALMEIDA,1,
1030,SERGIO ALMEIDA,0,9005
1031,TATIANA CARDOSO,0,9005
1032,MARINA OLIVEIRA,0,9003
1033,ELISA DUARTE,0,9003
1034,BRUNO BARBOSA,0,
1035,ELISA FERREIRA,0,9005
1036,NELSON FERREIRA,0,9004
1037,MARINA MACHADO,0,
1038,RENATA DUARTE,0,9005
1039,ANA,0,9005
1040,SERGIO JUNQUEIRA,0,9005
1041,KARINA PRADO,0,9004
1042,NELSON PRADO,1,
1043,OLIVIA QUEIROZ,0,9005
